,ictv_taxo_index
AP013547,655
AP013546,656
JX483873,657
GU943068,658
KM199771,659
AP013539,660
GU943054,661
KC465901,662
AP013542,663
KT381879,664
KR153873,665
GU943065,666
MG775261,667
HM559717,668
GU943073,669
KU595432,670
KU595433,671
KF626667,672
KU197013,673
MF375456,674
MK016662,675
MH684921,676
HQ317389,677
KP343639,678
AP013541,679
MF893341,680
AP013548,681
KC465900,682
KT997876,683
GU071104,684
HQ337022,685
GU071100,686
KY065149,687
AY939843,688
AF338467,689
GU071107,690
HQ332137,691
EF372997,692
AP013540,693
FR751545,694
MF166859,695
MF034659,696
JN564907,697
HQ632859,698
MN062188,699
KY620117,700
JX094499,701
KR296689,702
KR296691,703
KU927500,704
MW355479,705
KC139519,706
KC139512,707
KC677662,708
MG280946,709
MN871450,710
MH791395,711
MH631453,712
JN871591,713
KX765862,714
LR026998,715
KM366098,716
MN505213,717
JQ340774,718
KT321316,719
MW269554,720
MN184886,721
MT330372,722
MW145139,723
MN604053,724
MG030346,725
KP063118,726
MN536026,727
AY357582,728
MN692199,729
MN478374,730
KY971609,731
MT675124,732
JX296113,733
MT675125,734
LR743524,735
KF626668,736
KF626665,737
MF476925,738
KY249644,739
MN317029,740
MT952005,741
MK838113,742
MF415410,743
MH817999,744
MN106244,745
LC553736,746
MN850594,747
EF460875,748
MN045229,749
MF044458,750
MH191398,751
MT230534,752
HQ728264,753
MN098326,754
MN136198,755
KF534715,756
KY087898,757
KJ858521,758
KJ002054,759
KY709296,760
MG649966,761
KY883654,762
KY883655,763
KP280063,764
MK796244,765
MT460514,766
MT460517,767
MN958086,768
MK895508,769
MN966732,770
MT460515,771
MW344054,772
MK907780,773
MT460516,774
MT448617,775
MG649967,776
JQ340389,777
KU927497,778
KX017521,779
MT074466,780
MT074459,781
MT074449,782
CP000917,783
MN197465,784
MN379739,785
MK370036,786
MN218191,787
MK393882,788
MT074450,789
MT074458,790
MF681663,791
LR027389,792
MT074465,793
MN187969,794
MT074457,795
MH370366,796
MH370367,797
MH370369,798
MH370375,799
MH370376,800
MH370379,801
MH370380,802
MH370386,803
MF431737,804
MK947459,805
MK972707,806
MK050846,807
MK728825,808
MF001363,809
MK005300,810
KM236244,811
MH631454,812
MK393882,813
HE956708,814
HQ665011,815
KR422353,816
AJ604530,817
MF431730,818
KM979355,819
KM979354,820
KJ190157,821
MH745368,822
MH203051,823
AC171169,824
MK373796,825
MN956514,826
KY677846,827
LR027384,828
MN970211,829
MN994496,830
MN994502,831
MN994504,832
KR233164,833
MT074448,834
MF402939,835
MH370378,836
MK972715,837
KP143763,838
KX130863,839
LN887948,840
KY114934,841
MG387042,842
AP019559,843
HQ406778,844
KY963424,845
AY543070,846
MN026741,847
MN316588,848
MN022787,849
MF979564,850
JX195166,851
MG030347,852
MH830339,853
MH645904,854
MH925094,855
KY363465,856
MW057857,857
MG676224,858
MG676225,859
KX845404,860
MG459987,861
MK372342,862
JN986845,863
KY398841,864
MG050172,865
KX130960,866
AM156909,867
MK907226,868
MF158039,869
JF770475,870
KF771237,871
KF771238,872
KF771239,873
KT825490,874
KJ668713,875
DQ121662,876
KC333879,877
KC579452,878
JQ182736,879
MF158042,880
MN090155,881
MK778457,882
MN850591,883
MN850572,884
MN850602,885
MN850607,886
MK373798,887
MN850567,888
MN850600,889
MN055691,890
MN850640,891
MT360681,892
MT127619,893
KC710998,894
MT074433,895
MN850569,896
MN019128,897
KY694971,898
MH491968,899
MH102284,900
KX015770,901
MH729819,902
KC139513,903
KM236241,904
AY308796,905
KR296690,906
MG241338,907
MN850620,908
MK962751,909
LR027388,910
LT961732,911
LR596614,912
LT841304,913
MN850643,914
MN850641,915
MN850596,916
MN850613,917
MN850638,918
MF564201,919
MH051918,920
MF996376,921
JX912252,922
MH285980,923
LC516895,924
MH051911,925
MG049919,926
MF093736,927
KU194206,928
KU194205,929
KP085586,930
MF468274,931
MN296515,932
KY985004,933
KX828710,934
HM035024,935
AY216660,936
MK335533,937
MG732930,938
MN545971,939
MT360682,940
MH845412,941
JF912400,942
KY619305,943
MK095606,944
KX130668,945
MN013083,946
MN013079,947
MN013075,948
JN672684,949
MK521904,950
MH844531,951
MN013076,952
MG894052,953
MN379832,954
KR262148,955
MN689779,956
KY780482,957
JF501022,958
MN783016,959
MG552615,960
MK278861,961
MN395286,962
KX237515,963
MF612072,964
MF415412,965
MH445453,966
KR269719,967
MN013080,968
MK931445,969
MK931442,970
MK931444,971
KT001920,972
MK931443,973
MH633484,974
MH688453,975
MK170446,976
KP658157,977
MT732435,978
MN812211,979
KU599889,980
KU599888,981
KU599887,982
KC959568,983
MT732458,984
MT732463,985
HM640230,986
MH999279,987
KY996523,988
JN800508,989
JQ729990,990
MH248069,991
JQ729991,992
JQ729992,993
MH393889,994
MT732473,995
JX238501,996
KM051843,997
KJ010547,998
KJ010548,999
JF966203,1000
KJ489397,1001
KJ489398,1002
KJ489400,1003
KT307976,1004
JN790865,1005
JN797796,1006
KF669647,1007
KJ489402,1008
KF669662,1009
KF208639,1010
JX094431,1011
KJ451625,1012
KJ081346,1013
KT995480,1014
KU577463,1015
KJ676859,1016
KU253712,1017
MN043729,1018
KY368640,1019
MH606185,1020
KM236245,1021
KM236246,1022
KF669652,1023
AP013029,1024
AB930182,1025
KU640380,1026
KC699836,1027
JN797797,1028
JN797798,1029
KT224359,1030
JN654439,1031
KC430106,1032
KJ489399,1033
KJ489401,1034
KT207918,1035
HM144387,1036
KJ801817,1037
AP009390,1038
AB609718,1039
KR049063,1040
KP339049,1041
KY549443,1042
MH880817,1043
DQ003638,1044
JQ797329,1045
KJ535721,1046
KJ535722,1047
KJ591605,1048
KJ586795,1049
KJ586794,1050
KJ591604,1051
KJ094033,1052
KJ094029,1053
KJ094031,1054
KJ094030,1055
JX126918,1056
DQ004855,1057
KM373208,1058
KF669649,1059
FJ230960,1060
KF554508,1061
KC595512,1062
KC595513,1063
MH078572,1064
MH028956,1065
AY954969,1066
JX080302,1067
JX080301,1068
EU418428,1069
JX080303,1070
KP687431,1071
KR902361,1072
KR908644,1073
KP687432,1074
FR852584,1075
JX080304,1076
JX080305,1077
JX875065,1078
JX080300,1079
KC012913,1080
JQ686190,1081
JX878671,1082
KF766114,1083
KJ888149,1084
KM216423,1085
KP027446,1086
AB853330,1087
AB853331,1088
AB903967,1089
HQ163896,1090
KX171212,1091
KP027447,1092
KF021268,1093
JX846612,1094
JX846613,1095
JX194239,1096
KP881332,1097
AY954970,1098
MF787246,1099
MG765277,1100
MH809531,1101
MH809529,1102
MG557979,1103
MG765279,1104
KP054477,1105
HM242243,1106
FJ822135,1107
AY682195,1108
MK504446,1109
MK504443,1110
MK504444,1111
KF156340,1112
GU071096,1113
KU686207,1114
HQ634177,1115
KJ019052,1116
KJ019091,1117
KJ019058,1118
MF351863,1119
KU594606,1120
KX349310,1121
KX349313,1122
GU071108,1123
KJ019054,1124
KJ019082,1125
KU686199,1126
KU686211,1127
HQ634175,1128
JN371769,1129
FM207411,1130
GU071097,1131
HQ316583,1132
KM359505,1133
KU686206,1134
MH920639,1135
HQ634189,1136
KP211958,1137
GU071098,1138
KJ019028,1139
KJ019071,1140
MH629685,1141
KU686212,1142
JN371768,1143
KX349289,1144
KU594605,1145
KJ019133,1146
KJ019040,1147
HQ634178,1148
HQ317292,1149
GU071095,1150
AJ630128,1151
DQ149023,1152
GU071103,1153
GU071106,1154
KU686201,1155
KJ019089,1156
HQ337021,1157
AY940168,1158
AY939844,1159
KF156338,1160
MH107246,1161
KY945241,1162
KU686210,1163
HQ317383,1164
MH512890,1165
GU071094,1166
KX349294,1167
GU071105,1168
KC292025,1169
KU356689,1170
LN610577,1171
LN610584,1172
JQ067087,1173
LR743532,1174
MT108725,1175
KX241618,1176
KY000218,1177
KY000219,1178
KY000220,1179
KY000221,1180
KC758116,1181
DQ163916,1182
JX131330,1183
KT734862,1184
AM749441,1185
AY576273,1186
MT732450,1187
MT732451,1188
MN602266,1189
MH045556,1190
MH825700,1191
MN585990,1192
MT521990,1193
MN369745,1194
MT310864,1195
MH399783,1196
MH045561,1197
MT498065,1198
MH371111,1199
MH576963,1200
KC821622,1201
KC821633,1202
KC821620,1203
KC821608,1204
MT732474,1205
KP966108,1206
MT701591,1207
AB276040,1208
MG747435,1209
AB981169,1210
KP137436,1211
DQ426904,1212
DQ674738,1213
MF417929,1214
MG592573,1215
KY045851,1216
MK511066,1217
MK034952,1218
AB008550,1219
KK213166,1220
MK422453,1221
CP000624,1222
MF276773,1223
U32222,1224
AY135486,1225
KT630644,1226
MK972711,1227
KY271398,1228
HQ110084,1229
LR597637,1230
AE006468(2844298..2877981),1231
QUVN01000024,1232
HM770079,1233
KT630647,1234
AY319521,1235
MK416012,1236
CP038625,1237
MK433578,1238
MK416011,1239
CP025901,1240
U24159,1241
AY027935,1242
MK972712,1243
DQ114220,1244
MK422449,1245
GU911304,1246
LC528882,1247
HM461982,1248
GU911303,1249
AF125163,1250
LR797314,1251
JAEILC010000038,1252
KC462197,1253
MG589387,1254
KF322032,1255
AY251033,1256
KC618326,1257
AF063097,1258
LR595870,1259
LR595869,1260
LR595887,1261
LR595873,1262
LR595883,1263
LR595885,1264
KR073660,1265
KR073661,1266
MK907237,1267
MN016939,1268
KX833211,1269
AY135739,1270
MT374855,1271
MT374857,1272
MT374858,1273
KT887559,1274
KX774374,1275
CP023680,1276
CP023686,1277
CP006891,1278
LR597649,1279
LR597638,1280
LR597640,1281
KY271397,1282
MK416015,1283
CP014526,1284
KT630645,1285
HQ110083,1286
JQ809663,1287
KC139521,1288
CP000623,1289
DQ087285,1290
MW072790,1291
MT662115,1292
MK416018,1293
HG803181,1294
CP019275,1295
CP025900,1296
KP063541,1297
LR595891,1298
CP025874,1299
CP025923,1300
MN563793,1301
CP052639,1302
MT732432,1303
KC821614,1304
KY442063,1305
KY471386,1306
MG766218,1307
KM366100,1308
MH107118,1309
MT926124,1310
KJ210330,1311
MW363799,1312
MH972260,1313
MN098325,1314
HF937074,1315
AY954949,1316
AF513032,1317
AB626962,1318
MK936476,1319
EU136189,1320
KY000084,1321
KU992911,1322
MT757399,1323
MK721188,1324
MK721196,1325
MK721183,1326
MK721184,1327
MK721198,1328
JQ309827,1329
MK721195,1330
MK721185,1331
MK721193,1332
LT630001,1333
KT932700,1334
KT945995,1335
MK360025,1336
AY212251,1337
KJ528544,1338
KX349899,1339
MT777452,1340
KX349900,1341
MH817022,1342
MF156577,1343
MF156578,1344
KX961631,1345
KY947509,1346
KX349901,1347
MW348917,1348
MK284526,1349
MK284527,1350
MK284528,1351
KC685370,1352
X99260,1353
KU831549,1354
EU622808,1355
MF407276,1356
MT459794,1357
EU771092,1358
M11813,1359
X96987,1360
MN857617,1361
MN082625,1362
MN524844,1363
MN524845,1364
MW419775,1365
Z47794,1366
LK392619,1367
KY921761,1368
KY821088,1369
MW012634,1370
KT780304,1371
KC292024,1372
KC292028,1373
EF056009,1374
KF192075,1375
KF562340,1376
KJ135004,1377
KC206276,1378
JX415535,1379
HQ259105,1380
JX880034,1381
KF620435,1382
MG922974,1383
KF806588,1384
KX098389,1385
MH160392,1386
JF974296,1387
HQ634194,1388
KC139517,1389
KC139520,1390
KM236242,1391
MN163281,1392
MH899585,1393
HG962375,1394
FN422399,1395
JX194238,1396
LC064302,1397
FN422398,1398
MG592470,1399
KX889068,1400
MG592410,1401
KU885989,1402
FJ591094,1403
MH015250,1404
KJ621082,1405
FR719956,1406
MH015256,1407
HQ317387,1408
KU885988,1409
KT321317,1410
MK962626,1411
MK962631,1412
MK962641,1413
MG018928,1414
KF787095,1415
MK962629,1416
MK962630,1417
KY769270,1418
KY514264,1419
KY549659,1420
MH059638,1421
KM879221,1422
HQ641380,1423
KF005317,1424
MW495044,1425
MK301608,1426
MN508356,1427
MN228696,1428
MG775260,1429
MG592591,1430
MG592554,1431
MG592625,1432
MG592536,1433
MT234338,1434
KP280062,1435
KC438283,1436
MG592603,1437
MG592610,1438
MN584918,1439
MN062186,1440
KF669658,1441
MG983743,1442
MH382836,1443
MW544066,1444
KY612839,1445
HQ728266,1446
KU356690,1447
KU356691,1448
MK863032,1449
MF498775,1450
MF448340,1451
JX123262,1452
GU459069,1453
MK234886,1454
HQ829472,1455
MK295203,1456
HM071924,1457
MH051913,1458
MH051917,1459
EU863409,1460
EF469154,1461
KU878969,1462
KT176190,1463
KP007359,1464
KU878968,1465
GQ981382,1466
HM563683,1467
KP007360,1468
KP007361,1469
KP007362,1470
KU867307,1471
MF957259,1472
HQ331142,1473
JX181825,1474
KJ000058,1475
KT239446,1476
MH729874,1477
KY000080,1478
KX258185,1479
MH333064,1480
KR269720,1481
LC371242,1482
MN882610,1483
AP014714,1484
GU323318,1485
MG999954,1486
LT614807,1487
KJ101592,1488
MG250484,1489
KT001915,1490
KM236240,1491
KP869101,1492
MG589383,1493
KT184309,1494
KY703222,1495
KY608965,1496
JX536493,1497
KF582788,1498
KR422352,1499
MK047717,1500
KF562341,1501
AY303349,1502
MH359124,1503
KX130865,1504
KM407600,1505
KF835987,1506
MH059636,1507
KY593455,1508
HE956709,1509
KP202158,1510
KY608967,1511
LN881729,1512
KX130864,1513
KX130864,1514
KT184308,1515
AP011113,1516
JN986846,1517
KY290975,1518
MK962750,1519
MG775043,1520
HE956711,1521
KJ668714,1522
MF001360,1523
MF001359,1524
JX128259,1525
MK886800,1526
MG781190,1527
MH992510,1528
MG867727,1529
MH051915,1530
MH051916,1531
MH243439,1532
KU867876,1533
MT682712,1534
MN864145,1535
LR215722,1536
LR215724,1537
LR215723,1538
MK327942,1539
MK327939,1540
MK327946,1541
MK373779,1542
MK373787,1543
KT184311,1544
KF925357,1545
KR269718,1546
JN202312,1547
MT179807,1548
MK962757,1549
MK373781,1550
KT184312,1551
AP018932,1552
KX452698,1553
MT682714,1554
MH992121,1555
MN994497,1556
MK373785,1557
MT682713,1558
MH837626,1559
KU925172,1560
LC348379,1561
KM501444,1562
KF208315,1563
MH809535,1564
KM606994,1565
FJ839692,1566
MH553563,1567
KM607000,1568
DQ904452,1569
FJ839693,1570
MF327007,1571
MF158045,1572
MF158046,1573
MF327008,1574
MF001354,1575
KX828711,1576
HM035025,1577
KX130861,1578
KX130862,1579
LN881726,1580
LN881728,1581
LN881732,1582
MN580668,1583
LC348380,1584
AF158101,1585
AP018814,1586
MN895438,1587
MN895434,1588
MN895437,1589
KX009778,1590
HM997020,1591
MN716856,1592
MT176425,1593
MT176424,1594
MT176426,1595
MF036690,1596
MF036692,1597
HM114315,1598
HM004124,1599
MK278860,1600
MN864865,1601
GU911519,1602
MH165274,1603
MN723850,1604
MN709128,1605
MH460829,1606
MH713599,1607
MN732883,1608
MN648195,1609
MN782535,1610
HQ698922,1611
GU396103,1612
AY375531,1613
MG696114,1614
MF001355,1615
KP890823,1616
KU255730,1617
HM452126,1618
AY266303,1619
MG250483,1620
KX078569,1621
KY971610,1622
KY683735,1623
HE978309,1624
EF437941,1625
EU863408,1626
MH560358,1627
AY343333,1628
HQ317393,1629
JN882287,1630
KR869820,1631
KX431559,1632
KX443552,1633
KC801932,1634
KT381880,1635
KM236237,1636
HM134276,1637
AY967407,1638
AY283928,1639
KP671755,1640
KC131129,1641
KT321315,1642
GU295964,1643
HQ918180,1644
KT001918,1645
KX130727,1646
JX306041,1647
MH179476,1648
MH179477,1649
JN377895,1650
JN377894,1651
HM452125,1652
MF479730,1653
DQ529280,1654
MZ334528,1655
MK310226,1656
MK450543,1657
MK002701,1658
MH576973,1659
MN234187,1660
MK310144,1661
MN617841,1662
MW435855,1663
MK494092,1664
HM152763,1665
JF704108,1666
KT591489,1667
MT758688,1668
JF744988,1669
MF185728,1670
MF324910,1671
JN680858,1672
MN234228,1673
MF140414,1674
KT281791,1675
KT372003,1676
KF024725,1677
JN699628,1678
MT658803,1679
MT658802,1680
MT657341,1681
KY223999,1682
JF937105,1683
MG009575,1684
DQ398052,1685
MT732475,1686
MN812203,1687
MN812205,1688
MH779501,1689
MH727547,1690
KR053201,1691
MH727552,1692
MH536824,1693
MG757157,1694
JF923797,1695
JF923796,1696
MH744424,1697
MH779499,1698
MF919510,1699
MK376962,1700
MH576960,1701
MK977699,1702
MF919542,1703
MH669013,1704
MK433272,1705
MH669007,1706
MN428063,1707
MN369753,1708
MH926057,1709
MK977700,1710
MG198776,1711
MG198777,1712
MG198780,1713
DQ499600,1714
AF189021,1715
JQ809650,1716
MF431617,1717
MF431616,1718
KP774835,1719
HQ641345,1720
KF302037,1721
KC751414,1722
DQ163915,1723
JQ446452,1724
AY095314,1725
MT939241,1726
MT119360,1727
MT119361,1728
CAJCJZ010000002,1729
JX262376,1730
MH001460,1731
JX182370,1732
MN234208,1733
MK524524,1734
MF766045,1735
MT310863,1736
MH651190,1737
MG298964,1738
KT186228,1739
JX889246,1740
MT711978,1741
MT711979,1742
KX815338,1743
MN204498,1744
MT701598,1745
MN062705,1746
JX182369,1747
MH669004,1748
MK392366,1749
KT124227,1750
KT152029,1751
KT124228,1752
MH171097,1753
KT124229,1754
KT184390,1755
KT184391,1756
KC700556,1757
KX507343,1758
KX344445,1759
KC700557,1760
MW435856,1761
MN096379,1762
KC700558,1763
MF766044,1764
MF766046,1765
MG593802,1766
MF766048,1767
MT708548,1768
MT701597,1769
MT701594,1770
MH248947,1771
MK658834,1772
AF424781,1773
AY954952,1774
AY954951,1775
AY954953,1776
DQ517338,1777
AP008953,1778
MG557619,1779
EU861004,1780
AB370205,1781
DQ530359,1782
DQ530360,1783
MT013111,1784
KJ716334,1785
GU477322,1786
MK801682,1787
JX274646,1788
HQ127381,1789
MK290764,1790
KP893289,1791
KP893290,1792
AP001553,1793
AP008954,1794
AY954959,1795
MK211557,1796
KT344895,1797
AB370268,1798
DQ530362,1799
AY954964,1800
AY954958,1801
AY954963,1802
AY954962,1803
DQ908929,1804
AY954966,1805
AY954967,1806
AY954960,1807
AY954950,1808
KJ452291,1809
AY954965,1810
AY954961,1811
JX094501,1812
MN904510,1813
MK618716,1814
JX013863,1815
JQ973847,1816
KC595279,1817
MG564297,1818
AY954968,1819
JN699007,1820
KR080199,1821
KF024727,1822
MH727561,1823
MN813686,1824
KF279411,1825
KF279412,1826
KT270441,1827
JF704094,1828
DQ398044,1829
KX589269,1830
MT639648,1831
KF493881,1832
EU770221,1833
JN699011,1834
KR080194,1835
JF704104,1836
MN813693,1837
KJ433976,1838
MN284893,1839
KR781349,1840
MH450122,1841
KJ595576,1842
JN192463,1843
